;Name;Vorname;Fraktion/Gruppe;20-003-01;20-003-02;20-007-01;20-007-02;20-014-02;20-014-03;20-015-01;20-021-01;20-022-01;20-022-02;20-022-03
1375;Lehmann;Sylvia;SPD;Abwesend;Abwesend;Nein;Ja;Ja;Ja;Abwesend;Nein;Ja;Ja;Ja
1376;Bubendorfer-Licht;Sandra;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1381;Martin;Dorothee;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1384;Dahmen;Janosch;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1390;Mackensen-Geis;Isabel;SPD;Abwesend;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1391;Emmerich;Marcel;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1397;Abdi;Sanae;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Abwesend;Abwesend;Abwesend
1398;Ahmetovic;Adis;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1399;Alabali-Radovan;Reem;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1400;Andres;Dagmar;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1401;Arlt;Johannes;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1402;Baldy;Daniel;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1403;Becker;Holger;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1404;Berghahn;Jürgen;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1405;Bergt;Bengt;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1406;Blankenburg;Jakob;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1407;Cademartori Dujisin;Isabel;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Ja;Ja;Ja
1408;Demir;Hakan;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1409;Diedenhofen;Martin;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1410;Dieren;Jan;SPD;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend
1411;Döring;Felix;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1412;Droßmann;Falko;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1413;Echeverria;Axel;SPD;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Nein;Ja;Ja;Ja
1414;Eichwede;Sonja;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1415;Engelhardt;Heike;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1416;Fäscher;Ariane;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1417;Fiedler;Sebastian;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1418;Funke;Fabian;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1419;Gava;Manuel;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1420;Heiligenstadt;Frauke;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1421;Hennig;Anke;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1422;Heselhaus;Nadine;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1423;Hostert;Jasmina;SPD;Abwesend;Abwesend;Abwesend;Abwesend;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1424;Hubertz;Verena;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1425;Hümpfer;Markus;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1426;Karaahmetoglu;Macit;SPD;Ja;Abwesend;Nein;Ja;Abwesend;Abwesend;Abwesend;Nein;Ja;Ja;Ja
1427;Kasper;Carlos;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1428;Kassautzki;Anna;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1429;Keller;Rainer Johannes;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1430;Kersten;Franziska;SPD;Ja;Nein;Abwesend;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1431;Kleebank;Helmut;SPD;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Nein;Ja;Ja;Ja
1432;Klinck;Kristian;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1433;Klose;Annika;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1434;Klüssendorf;Tim;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1435;Koß;Simona;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1436;Kreiser;Dunja;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1437;Kröber;Martin;SPD;Ja;Nein;Abwesend;Abwesend;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1438;Kühnert;Kevin;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1439;Lahrkamp;Sarah;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1440;Larem;Andreas;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1441;Leiser;Kevin;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1442;Licina-Bode;Luiza;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1443;Limbacher;Esra;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Abwesend;Abwesend;Abwesend
1444;Lugk;Bettina;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1445;Machalet;Tanja;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1446;Malottki;Erik;SPD;Abwesend;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja
1447;Mann;Holger;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1448;Mansoori;Kaweh;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1449;Martens;Zanda;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1450;Marvi;Parsa;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1451;Mascheck;Franziska;SPD;Abwesend;Abwesend;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1452;Mehltretter;Andreas;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1453;Mehmet Ali;Takis;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1454;Mesarosch;Robin;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1455;Michel;Kathrin;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1456;Mieves;Matthias David;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1457;Müller;Michael;SPD;Abwesend;Abwesend;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1458;Nasr;Rasha;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1459;Nickholz;Brian;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1460;Nürnberger;Jörg;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1461;Oehl;Lennard;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1462;Pantazis;Christos;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1463;Papenbrock;Wiebke;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1464;Papendieck;Mathias;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Ja;Ja;Ja
1465;Pawlik;Natalie;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1466;Peick;Jens;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1467;Philippi;Andreas;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1468;Plobner;Jan;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1469;Rhie;Ye-One;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1470;Roloff;Sebastian;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1471;Rosenthal;Jessica;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1472;Rudolph;Thorsten;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1473;Rudolph;Tina;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1474;Schäfer;Ingo;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1475;Schamber;Rebecca;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1476;Schätzl;Johannes;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1477;Schierenbeck;Peggy;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1478;Schisanowski;Timo;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1479;Schmid;Christoph;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1480;Schneider;Daniel;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1481;Scholz;Olaf;SPD;Ja;Abwesend;Abwesend;Abwesend;Ja;Ja;Ja;Nein;Ja;Abwesend;Abwesend
1482;Schreider;Christian;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1483;Schulze;Svenja;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Ja;Ja;Ja
1484;Seitzl;Lina;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1485;Stegner;Ralf;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1486;Sthamer;Nadja;SPD;Ja;Nein;Abwesend;Abwesend;Ja;Ja;Nein;Nein;Ja;Ja;Ja
1487;Stüwe;Ruppert;SPD;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Nein;Ja;Ja;Nein
1488;Troff-Schaffarzyk;Anja;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1489;Türk-Nachbaur;Derya;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1490;Ullrich;Frank;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1491;Wagner;Carolin;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1492;Wallstein;Maja;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1493;Walter;Hannes;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1494;Wegge;Carmen;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1495;Wegling;Melanie;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1496;Werner;Lena;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1497;Wollmann;Herbert;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1498;Zorn;Armand;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1499;Zschau;Katrin;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1500;Abraham;Knut;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1501;Borchardt;Simone;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1502;Breilmann;Michael;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1503;Bröhr;Marlon;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1504;Bury;Yannick;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1505;Czaja;Mario;CDU/CSU;Nein;Ja;Nein;Abwesend;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1506;Edelhäußer;Ralph;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1507;Engelhard;Alexander;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1508;Englhardt-Kopf;Martina;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1509;Geissler;Jonas;CDU/CSU;Abwesend;Abwesend;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1510;Gramling;Fabian;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1511;Gräßle;Ingeborg;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1512;Güler;Serap;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1513;Hierl;Susanne;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1514;Hoppermann;Franziska;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1515;Janssen;Anne;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1516;Klein;Ottilie;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1517;Klöckner;Julia;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1518;König;Anne;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
